City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,saldanha,-33.0117,17.9442,42.85,58,89,9.46,ZA,1689923052
241,gurupi,-11.7292,-49.0686,67.35,49,0,7.47,BR,1689923047
242,brandon,27.9378,-82.2859,84.06,93,0,5.75,US,1689923003
243,daru,-9.0763,143.2092,79.12,73,95,12.19,PG,1689923053
244,hammerfest,70.6634,23.6821,48.65,93,75,6.91,NO,1689923053
245,invercargill,-46.4,168.35,38.23,82,71,6.2,NZ,1689923054
246,fujin,47.26,132.0322,85.84,64,86,4.88,CN,1689923054
247,porto novo,6.4965,2.6036,76.82,86,98,7.94,BJ,1689922843
248,orcopampa,-15.2661,-72.3417,46.13,47,0,2.44,PE,1689923064
249,itanhaem,-24.1831,-46.7889,62.73,94,38,2.8,BR,1689923065
250,pushkinskiye gory,57.0209,28.9103,64.08,49,0,9.86,RU,1689923065
251,zeya,53.75,127.2667,77.23,35,70,10.51,RU,1689923065
252,krasnovishersk,60.4078,57.082,58.6,91,100,5.97,RU,1689923065
253,carauari,-4.8828,-66.8958,70.75,73,100,0.47,BR,1689922968
254,santiago de cao,-7.9589,-79.2392,69.93,88,100,6.91,PE,1689923066
255,shalya,57.2471,58.7298,67.42,55,27,13.33,RU,1689923066
256,taylor,32.3001,-99.8337,86.32,37,0,10.36,US,1689923066
257,tuzhai,24.983,118.8319,88.93,67,95,13.82,CN,1689923067
258,fisterra,42.9049,-9.2629,60.75,80,2,4.52,ES,1689923067
259,nar'yan-mar,67.6713,53.087,69.24,70,97,13.89,RU,1689923067
260,anupgarh,29.1911,73.2086,104.34,34,83,6.31,IN,1689923067
261,bethanie,-26.4833,17.15,50.59,32,0,4.56,NA,1689923068
262,dunay,42.8803,132.3375,70.48,87,36,7.85,RU,1689923068
263,mankera,31.3866,71.4407,101.84,37,13,2.35,PK,1689922858
264,as sulayyil,20.4607,45.5779,100.65,7,22,4.03,SA,1689922939
265,jambusar,22.05,72.8,88.25,68,100,9.4,IN,1689923069
266,belomorsk,64.5232,34.7668,49.55,92,100,13.35,RU,1689923069
267,weining,26.85,104.2333,72.66,67,83,7.43,CN,1689923069
268,kapa'a,22.0752,-159.319,80.58,80,40,19.57,US,1689923069
269,nagqu,31.5,92.0,59.25,32,5,8.41,CN,1689923070
270,subaykhan,34.8544,40.6083,97.41,15,0,11.16,SY,1689923070
271,sandnessjoen,66.0217,12.6316,59.52,82,75,2.3,NO,1689923070
272,lazaro cardenas,17.9583,-102.2,80.19,86,23,3.29,MX,1689923071
273,polyarnyy,69.1989,33.4478,48.51,77,100,17.63,RU,1689923071
274,la'ie,21.6477,-157.9253,80.01,78,63,5.01,US,1689923071
275,krasnyy chikoy,50.3643,108.7512,77.07,47,38,2.1,RU,1689923071
276,vanimo,-2.6741,141.3028,83.44,75,45,7.34,PG,1689923072
277,kogalym,62.2654,74.4791,72.45,55,100,13.29,RU,1689923072
278,beau vallon,-20.4189,57.6953,78.22,65,40,6.91,MU,1689923072
279,hwasun,35.0594,126.985,86.88,52,8,9.8,KR,1689923072
280,saint croix,17.7397,-64.7388,77.45,83,100,5.75,VI,1689923073
281,brisas de zicatela,15.8369,-97.0419,81.12,76,18,4.94,MX,1689923073
282,bereznik,62.8551,42.7072,62.83,95,100,2.77,RU,1689923073
283,al bayda',32.7627,21.7551,84.58,32,0,7.78,LY,1689923073
284,sao miguel do araguaia,-13.275,-50.1628,68.13,45,0,6.42,BR,1689922938
285,esperanza,19.5847,-70.9849,79.38,88,26,7.0,DO,1689923074
286,nadi,-17.8,177.4167,77.0,78,20,9.22,FJ,1689923074
287,port-cartier,50.0334,-66.8654,56.88,81,91,3.06,CA,1689923074
288,benghazi,32.1167,20.0667,84.38,60,0,5.73,LY,1689923074
289,uturoa,-16.7333,-151.4333,76.1,64,41,19.13,PF,1689923075
290,nemuro,43.3236,145.575,61.2,88,4,13.69,JP,1689923075
291,port isabel,26.0734,-97.2086,82.06,85,0,8.05,US,1689923075
292,altay,47.8667,88.1167,87.03,23,1,10.0,CN,1689923075
293,anadyr,64.75,177.4833,59.5,82,40,6.71,RU,1689923075
294,makhambet,47.6667,51.5833,84.36,25,0,3.09,KZ,1689923076
295,teknaf,20.8624,92.3058,84.63,82,77,18.41,BD,1689923076
296,nefta,33.8731,7.8777,91.65,19,0,13.65,TN,1689923076
297,kijang,35.2442,129.2139,87.53,73,0,6.44,KR,1689922974
298,bela,25.9333,81.9833,103.15,35,8,14.16,IN,1689923076
299,varna,43.2167,27.9167,84.29,65,0,8.05,BG,1689922865
300,sedona,34.8697,-111.761,89.35,26,0,1.01,US,1689923042
301,ambovombe,-25.1667,46.0833,65.41,70,100,17.02,MG,1689923077
302,gaalkacyo,6.7697,47.4308,87.21,45,96,27.69,SO,1689923077
303,colares,38.7992,-9.4469,68.32,85,20,10.0,PT,1689923078
304,trelaze,47.45,-0.4667,61.12,78,100,5.75,FR,1689923078
305,tamanrasset,22.785,5.5228,84.11,13,0,4.61,DZ,1689922944
306,katoya,23.65,88.1333,95.81,52,99,15.19,IN,1689923078
307,margate,51.3813,1.3862,61.9,75,38,8.01,GB,1689923078
308,saidpur,25.7777,88.8917,96.13,52,100,10.69,BD,1689923079
309,suva,-18.1416,178.4415,76.48,83,40,5.75,FJ,1689922792
310,filiatra,37.15,21.5833,92.7,51,0,7.4,GR,1689923079
311,san pedro pochutla,15.7333,-96.4667,78.71,89,59,5.17,MX,1689923079
312,wellington,-41.2866,174.7756,49.66,83,40,23.02,NZ,1689922836
313,kitimat,54.0524,-128.6534,71.98,64,100,7.0,CA,1689923080
314,yazoo city,32.8551,-90.4056,76.91,72,4,4.76,US,1689923080
315,witu,-2.3889,40.4382,82.56,61,3,16.22,KE,1689923080
316,amasra,41.7463,32.3863,77.05,49,8,3.67,TR,1689923080
317,mineral del monte,20.1333,-98.6667,49.84,92,81,4.74,MX,1689923081
318,labytnangi,66.6572,66.4183,78.71,51,93,7.56,RU,1689923081
319,den burg,53.0542,4.7972,62.96,84,100,5.75,NL,1689923081
320,island harbour,50.724,-1.2758,60.19,83,100,1.99,GB,1689923081
321,vicam,27.6333,-110.2833,86.54,50,100,4.18,MX,1689923081
322,cheremukhovo,60.3484,59.9851,71.24,53,12,6.44,RU,1689923082
323,shenjiamen,29.9576,122.298,81.84,85,100,17.87,CN,1689923082
324,badger,64.8,-147.5333,67.91,80,40,0.0,US,1689923082
325,qorovulbozor,39.5006,64.7936,96.51,11,0,16.96,UZ,1689923082
326,barra de santo antonio,-9.4047,-35.5072,72.68,82,37,13.33,BR,1689923083
327,kampung sungai ara,5.327,100.2735,89.53,79,20,8.05,MY,1689923083
328,princeville,45.7668,-61.2985,68.41,97,100,3.44,CA,1689923083
329,fenoarivo atsinanana,-17.3667,49.4167,71.04,92,100,9.24,MG,1689923083
330,jeddah,21.5169,39.2192,94.86,43,0,9.22,SA,1689922813
331,el porvenir,13.7617,-87.3458,76.33,77,19,6.53,HN,1689923084
332,casper,42.8666,-106.3131,59.72,82,88,1.99,US,1689922904
333,bandon,51.7469,-8.7425,54.99,84,100,4.9,IE,1689923084
334,bamboo flat,11.7,92.7167,86.09,79,75,12.66,IN,1689923084
